class,num_Files,num_Classes,num_Methods,num_Lines,num_Added,num_Removed,num_Modified,num_Chunks,num_Failing_Tests,num_Repair_Actions,num_Repair_Patterns,First_Exception,Loc_Predicat,Loc_ConditionalBlock,Loc_FunctionBody,Loc_Constructor,Loc_LoopBody
org.joda.time.Chronology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.DateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.DateTimeFieldType,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.DateTimeUtils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.DateTimeZone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.DurationField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.DurationFieldType,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.IllegalFieldValueException,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.IllegalInstantException,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.JodaTimePermission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.Partial,2,2,2,13,9,3,1,3,1,7,4,1,0,1,0,0,0
org.joda.time.base.AbstractPartial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.AssembledChronology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.BaseChronology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.BasicChronology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.BasicDayOfMonthDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.BasicDayOfYearDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.BasicGJChronology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.BasicMonthOfYearDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.BasicWeekyearDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.BasicYearDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.GJDayOfWeekDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.GJEraDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.GJMonthOfYearDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.GJYearOfEraDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.GregorianChronology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.ISOChronology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.ISOYearOfEraDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.chrono.ZonedChronology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.field.BaseDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.field.BaseDurationField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.field.DecoratedDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.field.DecoratedDurationField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.field.DividedDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.field.ImpreciseDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.field.MillisDurationField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.field.OffsetDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.field.PreciseDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.field.PreciseDurationDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.field.PreciseDurationField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.field.RemainderDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.field.ScaledDurationField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.field.UnsupportedDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.field.UnsupportedDurationField,2,2,2,13,9,3,1,3,1,7,4,1,0,1,0,0,0
org.joda.time.field.ZeroIsMaxDateTimeField,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.tz.CachedDateTimeZone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.tz.DateTimeZoneBuilder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.tz.DefaultNameProvider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.tz.FixedDateTimeZone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.joda.time.tz.ZoneInfoProvider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
